Dialog No.,Gender,Education,a,b,R^2,RMSE,MAE,NRMSE
3040,3,3-2,0.288488,0.695189,0.754512,0.043302,0.038582,0.176096
2120,2,3-2,0.291749,0.760705,0.825116,0.035638,0.032983,0.15146
3924,1,3-2,0.267378,0.790616,0.740646,0.041244,0.036772,0.193529
4703,2,3-2,0.255664,0.791521,0.858564,0.026011,0.021107,0.123863
3382,3,2-2,0.290795,0.801848,0.693905,0.052786,0.048181,0.225219
2883,1,2-2,0.279129,0.803779,0.739005,0.04392,0.034388,0.196595
2067,1,3-2,0.240114,0.80567,0.781308,0.03024,0.027497,0.154829
3272,2,3-2,0.326492,0.80896,0.761402,0.051489,0.044996,0.193083
3256,1,2-2,0.279625,0.811253,0.774779,0.039599,0.037671,0.165284
3776,2,3-2,0.255802,0.812942,0.863549,0.025078,0.019781,0.11949
3331,1,2-2,0.243698,0.817843,0.802354,0.028707,0.024666,0.151977
3088,1,2-2,0.287942,0.818849,0.722539,0.048085,0.046711,0.204037
3979,3,3-2,0.255676,0.83484,0.885194,0.022228,0.01693,0.103203
2955,2,2-2,0.256237,0.836469,0.760524,0.034708,0.031381,0.169505
3204,2,3-2,0.321179,0.840104,0.816323,0.042479,0.036999,0.157778
3162,2,3-2,0.311666,0.84154,0.774125,0.046578,0.043075,0.182262
3375,3,2-2,0.343301,0.850014,0.723235,0.061664,0.059572,0.214829
2640,2,3-2,0.297116,0.852154,0.808955,0.038704,0.034808,0.155861
3409,2,2-2,0.290096,0.857152,0.81799,0.035895,0.028543,0.149017
2998,2,3-3,0.295002,0.862628,0.790188,0.040296,0.038495,0.161183
4064,2,3-2,0.300875,0.863395,0.782279,0.042577,0.038255,0.168372
2349,2,2-2,0.349229,0.869716,0.744583,0.059551,0.054101,0.200837
3023,3,3-2,0.284937,0.871776,0.731655,0.043917,0.039016,0.1911
4051,2,3-3,0.330709,0.874849,0.863696,0.036649,0.034887,0.128272
4022,3,2-2,0.324562,0.875334,0.785578,0.047477,0.044034,0.173153
4138,3,3-2,0.350344,0.876144,0.774274,0.054926,0.050624,0.185904
2455,1,2-2,0.305106,0.876432,0.812799,0.039289,0.032024,0.153226
4380,3,3-2,0.310903,0.876835,0.730535,0.051604,0.044155,0.206416
2490,1,2-2,0.281255,0.878864,0.80462,0.034522,0.029213,0.146613
4615,2,2-2,0.316577,0.880263,0.801052,0.043398,0.03871,0.164612
2461,3,3-2,0.284616,0.881788,0.809542,0.034753,0.031348,0.144542
4363,3,3-2,0.275611,0.886119,0.800868,0.033097,0.029369,0.145626
4108,1,3-2,0.319856,0.887196,0.796565,0.04463,0.040055,0.167363
4796,3,2-2,0.294002,0.887736,0.827485,0.034631,0.032372,0.13708
3662,3,2-2,0.294674,0.887806,0.818392,0.03588,0.028078,0.149262
2840,2,3-3,0.315973,0.889343,0.737824,0.051606,0.044447,0.198327
4320,3,2-2,0.333943,0.895761,0.750458,0.054533,0.046045,0.193505
3303,2,2-2,0.302478,0.895801,0.834629,0.035294,0.02706,0.141175
3320,3,3-2,0.270855,0.896172,0.866592,0.02506,0.020254,0.106872
4037,3,2-2,0.323361,0.896767,0.780679,0.047396,0.042187,0.172657
2546,3,2-2,0.327379,0.898349,0.875448,0.034075,0.031482,0.117257
3244,1,2-2,0.360586,0.899239,0.741399,0.06284,0.05706,0.205379
2826,1,3-2,0.285494,0.900559,0.771607,0.038018,0.033764,0.155296
2617,1,2-2,0.316373,0.902769,0.809935,0.041483,0.038575,0.150464
4114,3,3-3,0.311527,0.903004,0.781412,0.044034,0.039503,0.16813
3150,2,3-2,0.309361,0.90304,0.790841,0.04226,0.035557,0.161358
2619,3,3-3,0.290501,0.90548,0.908869,0.023059,0.021882,0.089033
3487,2,3-2,0.315238,0.906146,0.93505,0.022125,0.019801,0.077879
3294,2,3-2,0.312455,0.908162,0.791303,0.04278,0.038545,0.15956
3068,3,3-3,0.282877,0.909489,0.820304,0.031705,0.025769,0.134194
4822,2,2-2,0.32833,0.909895,0.777691,0.048664,0.044251,0.180751
3985,3,3-2,0.294247,0.910399,0.805912,0.036244,0.027632,0.152857
3655,1,2-2,0.28645,0.911508,0.818756,0.032731,0.029604,0.136201
4077,2,2-2,0.304488,0.912579,0.768031,0.043217,0.033556,0.175957
3993,2,2-2,0.264779,0.91273,0.935636,0.015675,0.013438,0.066936
3523,1,2-2,0.29654,0.913277,0.845403,0.032082,0.02987,0.123127
2005,3,2-2,0.323095,0.913506,0.808593,0.04406,0.039103,0.161047
3524,2,3-2,0.271374,0.913907,0.902303,0.020596,0.016891,0.082842
3118,1,3-2,0.287065,0.913926,0.879024,0.026024,0.021418,0.106326
3063,1,3-2,0.295967,0.91462,0.850884,0.031108,0.027139,0.123019
2587,2,3-2,0.302627,0.916189,0.840303,0.033809,0.028979,0.130826
3580,3,2-2,0.298645,0.916649,0.842076,0.032798,0.026352,0.128382
2678,3,3-3,0.312069,0.916717,0.832543,0.036974,0.027316,0.139597
2302,3,3-2,0.30551,0.918627,0.811708,0.037887,0.031814,0.150432
4716,2,3-2,0.35396,0.919221,0.753995,0.058754,0.055128,0.193544
3035,3,3-2,0.333041,0.920758,0.686586,0.062645,0.055074,0.230926
3238,1,2-2,0.289312,0.920952,0.883931,0.025732,0.016491,0.103881
2094,2,3-2,0.282009,0.921251,0.870742,0.025887,0.01911,0.108118
2197,3,3-3,0.318757,0.923064,0.749338,0.049052,0.042196,0.186256
3784,3,2-2,0.345423,0.92309,0.734957,0.059304,0.051841,0.208752
4752,2,3-1,0.337624,0.924124,0.72587,0.058293,0.048961,0.20819
2559,2,2-2,0.285362,0.924832,0.816255,0.031867,0.023668,0.136842
4023,3,3-2,0.295603,0.92504,0.882201,0.026843,0.022419,0.105837
3646,2,2-2,0.306611,0.927151,0.824084,0.036294,0.031149,0.142833
2259,2,3-2,0.327625,0.928744,0.888931,0.031457,0.028899,0.108048
4152,2,3-2,0.289471,0.930552,0.868201,0.027115,0.024371,0.109463
4659,2,2-2,0.349793,0.930759,0.85552,0.040716,0.039741,0.127966
