Speaker No.,Gender,Education,a,b,R^2,RMSE,MAE
1465,FEMALE,3,0.335325,0.584591,0.526105,0.077022,0.070508
1688,MALE,2,0.270267,0.822805,0.692773,0.046342,0.04117
1102,MALE,2,0.270574,0.777793,0.718538,0.044681,0.043094
1382,FEMALE,2,0.371796,0.723525,0.735105,0.059538,0.04594
1629,MALE,2,0.36003,0.941189,0.759113,0.058868,0.052482
1570,MALE,2,0.440829,1.139047,0.782943,0.071087,0.053094
1543,MALE,3,0.468958,1.183054,0.791357,0.076305,0.058722
1386,FEMALE,3,0.262611,0.704459,0.760233,0.038085,0.034944
1655,MALE,2,0.292464,0.818088,0.77893,0.041973,0.037586
1610,MALE,2,0.327495,0.935072,0.767546,0.048707,0.041465
1677,MALE,2,0.433083,1.106059,0.803308,0.065832,0.049882
1621,MALE,2,0.390406,1.016034,0.798284,0.058218,0.048822
1623,MALE,3,0.390732,0.99863,0.810683,0.05626,0.045144
1671,FEMALE,2,0.333507,0.836122,0.800518,0.046902,0.042494
1657,FEMALE,2,0.253421,0.804329,0.78068,0.033433,0.028585
1563,MALE,2,0.353145,0.928425,0.813734,0.048531,0.042367
1180,FEMALE,2,0.443867,1.130664,0.82663,0.062901,0.057557
1540,MALE,2,0.351859,0.998669,0.806359,0.046645,0.039911
1328,FEMALE,3,0.389294,0.993268,0.828495,0.052778,0.040393
1625,MALE,2,0.387432,0.986315,0.832366,0.051815,0.045514
1070,MALE,2,0.391926,0.9963,0.835119,0.052166,0.046466
1015,FEMALE,2,0.26859,0.883608,0.794495,0.032211,0.027577
1700,MALE,3,0.351927,0.989584,0.827731,0.044114,0.03692
1646,FEMALE,2,0.289936,0.840105,0.831742,0.034493,0.03046
1557,MALE,2,0.281251,0.880295,0.824524,0.032412,0.026768
1630,MALE,2,0.380661,1.072826,0.837962,0.046429,0.031186
1504,FEMALE,2,0.317977,0.918156,0.845003,0.03649,0.029864
1534,MALE,2,0.267511,0.873639,0.819191,0.03005,0.024406
1147,MALE,3,0.384175,1.044091,0.843275,0.047448,0.044716
1336,FEMALE,2,0.356618,0.970869,0.853635,0.041791,0.03632
1650,MALE,3,0.326155,0.824771,0.868956,0.034793,0.028551
1338,FEMALE,2,0.300492,0.853605,0.851805,0.033421,0.030985
1128,MALE,2,0.376179,1.046812,0.847805,0.044553,0.035712
1076,MALE,3,0.293083,0.87283,0.849102,0.032177,0.029132
1178,FEMALE,2,0.362512,1.045788,0.846834,0.041619,0.027562
1530,MALE,2,0.33695,1.019607,0.81469,0.038157,0.030636
1551,MALE,3,0.37218,1.082177,0.828964,0.04289,0.033812
1661,MALE,2,0.315247,0.983448,0.825217,0.035149,0.026153
1249,FEMALE,2,0.270705,0.812207,0.848871,0.029332,0.025841
1151,MALE,3,0.331905,0.975292,0.845938,0.037142,0.033935
1146,MALE,3,0.319753,1.001054,0.820988,0.035105,0.025844
1063,MALE,3,0.355775,1.067197,0.834498,0.039108,0.024608
1638,MALE,2,0.364689,1.06148,0.847363,0.03998,0.030798
1032,FEMALE,2,0.378513,1.09989,0.847843,0.041283,0.029316
1678,MALE,2,0.350614,0.940715,0.85384,0.040809,0.036773
1084,MALE,3,0.341594,1.037706,0.836485,0.036179,0.026673
1670,FEMALE,2,0.403264,1.084997,0.88009,0.043413,0.031795
1687,MALE,2,0.356325,0.972833,0.865488,0.039658,0.036977
